,coord,country,id,name
153499,"{'lon': 2.18885, 'lat': 43.777538}",FR,2984299,Realmont
143639,"{'lon': 1.8258100000000002, 'lat': 41.783791}",ES,6356216,Santpedor
126977,"{'lon': 113.284897, 'lat': 22.20739}",CN,1805704,Jingan
67,"{'lon': -93.183502, 'lat': 31.11685}",US,4344544,Vernon Parish
151398,"{'lon': 2.7882100000000003, 'lat': 44.182201}",FR,2976375,Salles-Curan
185143,"{'lon': 122.814301, 'lat': 11.2251}",PH,1712992,Gibato
57845,"{'lon': -65.831863, 'lat': 46.739799}",CA,5903420,Blackville
94949,"{'lon': 7.85988, 'lat': 46.827839}",CH,2658755,Schangnau
164596,"{'lon': 18.98119, 'lat': 47.361729}",HU,3051822,Halasztelek
23603,"{'lon': 43.049168, 'lat': 60.034168}",RU,464806,Zapol’naya
124370,"{'lon': 120.179893, 'lat': 33.087742}",CN,1547574,Guanyinsi
103393,"{'lon': -75, 'lat': -13}",PE,3939467,Departamento de Huancavelica
66112,"{'lon': 8.3, 'lat': 50.616669}",DE,2917793,Greifenstein
201172,"{'lon': -75.162399, 'lat': 39.80122}",US,4828875,Oak Valley
111383,"{'lon': 2.09694, 'lat': 49.001579}",FR,3023924,Conflans-Sainte-Honorine
63530,"{'lon': 10.15, 'lat': 48.033329}",DE,2907388,Heimertingen
141409,"{'lon': -0.15, 'lat': 38.933331}",ES,2521824,LAlqueria de la Comtessa
